Register #     Hex Value      Binary Value
$0             0x0004         0000 0000 0000 0100
$1             0x0000         0000 0000 0000 0000
$2             0x0010         0000 0000 0001 0000
$3             0x0101         0000 0001 0000 0001
$4             0x0040         0000 0000 0100 0000
$5             0x1010         0001 0000 0001 0000
$6             0x000f         0000 0000 0000 1111
$7             0x00f0         0000 0000 1111 0000
